Ath_Gene,Ath_Transcript,Ptr_Gene,Ptr_Transcript,Identity,Coverage,Evalue,Bitscore
AT1G01250,AT1G01250.1,Potri.014G099900,Potri.014G099900.1,58,96,2.93e-64,197
AT1G01260,AT1G01260.1,Potri.014G099700,Potri.014G099700.1,52.516,98,0,591
AT1G01280,AT1G01280.1,Potri.002G171800,Potri.002G171800.1,76.392,99,0,796
AT1G01290,AT1G01290.1,Potri.014G099500,Potri.014G099500.2,58.113,96,3.47e-96,283
AT1G01300,AT1G01300.1,Potri.002G171700,Potri.002G171700.1,72.414,95,0,644
AT1G01310,AT1G01310.1,Potri.009G083100,Potri.009G083100.1,50.355,58,2.02e-49,160
AT1G01320,AT1G01320.1,Potri.014G098600,Potri.014G098600.2,60.197,99,0,2122
AT1G01340,AT1G01340.2,Potri.002G170000,Potri.002G170000.3,63.934,99,0,944
AT1G01350,AT1G01350.1,Potri.014G097300,Potri.014G097300.1,74.598,90,5.03e-167,469
AT1G01355,AT1G01355.1,Potri.013G003000,Potri.013G003000.3,33.333,62,9.27e-11,61.6
AT1G01360,AT1G01360.1,Potri.002G169400,Potri.002G169400.1,80.328,97,4.74e-107,305
AT1G01370,AT1G01370.1,Potri.014G096400,Potri.014G096400.1,53.591,100,7.75e-53,166
AT1G01380,AT1G01380.1,Potri.014G096300,Potri.014G096300.1,61.538,77,7.28e-25,89.7
AT1G01390,AT1G01390.1,Potri.014G096100,Potri.014G096100.1,58.038,99,0,575
AT1G01420,AT1G01420.1,Potri.014G096100,Potri.014G096100.1,61.635,98,0,602
AT1G01430,AT1G01430.1,Potri.014G095800,Potri.014G095800.1,57.718,97,0,520
AT1G01440,AT1G01440.1,Potri.014G095700,Potri.014G095700.2,37.004,88,8.53e-119,376
AT1G01450,AT1G01450.1,Potri.014G095200,Potri.014G095200.3,59.732,93,1.4e-179,519
AT1G01453,AT1G01453.2,Potri.014G094400,Potri.014G094400.1,35.06,86,1.56e-38,136
AT1G01460,AT1G01460.1,Potri.004G139900,Potri.004G139900.1,38.208,98,7.16e-84,272
AT1G01470,AT1G01470.1,Potri.014G090800,Potri.014G090800.1,63.816,100,3.02e-67,201
AT1G01480,AT1G01480.1,Potri.002G163700,Potri.002G163700.1,65.503,98,0,666
AT1G01490,AT1G01490.1,Potri.002G163400,Potri.002G163400.1,65.73,100,2.56e-50,160
AT1G01500,AT1G01500.1,Potri.014G089600,Potri.014G089600.1,59.873,94,6.27e-124,358
AT1G01510,AT1G01510.1,Potri.014G089400,Potri.014G089400.1,72.713,99,0,937
AT1G01520,AT1G01520.1,Potri.014G089300,Potri.014G089300.1,52.28,99,9.25e-108,317
AT1G01530,AT1G01530.1,Potri.017G047300,Potri.017G047300.1,40.741,85,8.67e-43,146
AT1G01540,AT1G01540.2,Potri.014G088800,Potri.014G088800.2,78.074,99,0,761
AT1G01550,AT1G01550.1,Potri.002G162600,Potri.002G162600.5,59.159,93,1.24e-141,405
AT1G01560,AT1G01560.2,Potri.002G162500,Potri.002G162500.1,85.326,99,0,652
AT1G01570,AT1G01570.1,Potri.003G131400,Potri.003G131400.1,58.418,98,0,583
AT1G01580,AT1G01580.1,Potri.014G088000,Potri.014G088000.1,60.623,97,0,861
AT1G01590,AT1G01590.1,Potri.014G088000,Potri.014G088000.1,56.232,98,0,784
AT1G01600,AT1G01600.1,Potri.014G085800,Potri.014G085800.1,76.182,99,0,868
AT1G01610,AT1G01610.1,Potri.014G085500,Potri.014G085500.1,79.4,99,0,809
AT1G01620,AT1G01620.1,Potri.003G128600,Potri.003G128600.2,88.927,100,0,520
AT1G01630,AT1G01630.1,Potri.001G068000,Potri.001G068000.1,72.294,90,1.2e-129,367
AT1G01640,AT1G01640.1,Potri.013G083800,Potri.013G083800.2,49.215,91,5.31e-58,184
AT1G01650,AT1G01650.1,Potri.002G160500,Potri.002G160500.6,75.465,99,0,838
AT1G01660,AT1G01660.1,Potri.002G160300,Potri.002G160300.1,38.983,79,4.76e-62,218
AT1G01670,AT1G01670.1,Potri.002G160200,Potri.002G160200.4,45.536,65,7.12e-26,110
AT1G01680,AT1G01680.1,Potri.002G160300,Potri.002G160300.1,44.505,78,2.69e-39,147
AT1G01690,AT1G01690.1,Potri.014G084800,Potri.014G084800.4,43.573,100,6.21e-102,310
AT1G01695,AT1G01695.1,Potri.014G084600,Potri.014G084600.2,36.042,55,2.2e-33,134
AT1G01700,AT1G01700.1,Potri.014G084200,Potri.014G084200.7,69.937,99,0,674
AT1G01710,AT1G01710.1,Potri.014G083300,Potri.014G083300.1,66.972,100,0,621
AT1G01720,AT1G01720.1,Potri.002G081000,Potri.002G081000.1,70.748,99,5.72e-148,417
AT1G01725,AT1G01725.1,Potri.014G082800,Potri.014G082800.1,69.492,94,6.67e-26,90.5
AT1G01730,AT1G01730.1,Potri.014G082600,Potri.014G082600.1,38.365,65,9.35e-29,110
AT1G01740,AT1G01740.1,Potri.002G158400,Potri.002G158400.1,68.56,100,0,701
AT1G01750,AT1G01750.1,Potri.012G141600,Potri.012G141600.1,81.884,98,1.49e-83,241
AT1G01760,AT1G01760.1,Potri.014G081400,Potri.014G081400.10,58.726,99,2.71e-167,477
AT1G01770,AT1G01770.1,Potri.002G157400,Potri.002G157400.1,69.889,98,0,885
AT1G01780,AT1G01780.1,Potri.002G157300,Potri.002G157300.1,73.659,99,1.87e-110,315
AT1G01790,AT1G01790.1,Potri.014G080800,Potri.014G080800.1,68.663,99,0,1448
AT1G01800,AT1G01800.1,Potri.002G157000,Potri.002G157000.11,63.851,99,1.14e-136,389
AT1G01820,AT1G01820.1,Potri.014G076400,Potri.014G076400.12,84.746,100,3.87e-149,415
AT1G01830,AT1G01830.2,Potri.014G076500,Potri.014G076500.3,65.474,97,0,724
AT1G01840,AT1G01840.1,Potri.014G077000,Potri.014G077000.1,45.882,96,4.32e-35,120
AT1G01860,AT1G01860.1,Potri.014G077100,Potri.014G077100.2,72.848,88,1.04e-160,453
AT1G01880,AT1G01880.1,Potri.014G077300,Potri.014G077300.1,58.158,99,0,676
AT1G01900,AT1G01900.1,Potri.014G074600,Potri.014G074600.1,56.921,98,0,885
AT1G01910,AT1G01910.1,Potri.002G152500,Potri.002G152500.1,82.286,99,0,590
AT1G01920,AT1G01920.1,Potri.014G077700,Potri.014G077700.2,63.811,98,0,715
AT1G01930,AT1G01930.1,Potri.002G149800,Potri.002G149800.1,56.732,93,0,593
AT1G01940,AT1G01940.1,Potri.002G149700,Potri.002G149700.1,94.41,100,7.89e-114,320
AT1G01950,AT1G01950.3,Potri.014G070900,Potri.014G070900.1,74.406,99,0,1375
AT1G01960,AT1G01960.1,Potri.014G070600,Potri.014G070600.1,74.076,99,0,2654
AT1G01970,AT1G01970.1,Potri.014G070500,Potri.014G070500.1,57.843,98,5.53e-168,477
AT1G01980,AT1G01980.1,Potri.001G462600,Potri.001G462600.2,63.806,99,0,698
AT1G02000,AT1G02000.1,Potri.014G068400,Potri.014G068400.1,85.714,99,0,763
AT1G02010,AT1G02010.1,Potri.014G069300,Potri.014G069300.1,76.067,96,0,1045
AT1G02020,AT1G02020.1,Potri.002G146100,Potri.002G146100.1,67.35,90,0,802
AT1G02030,AT1G02030.1,Potri.014G066100,Potri.014G066100.1,38.251,98,1.13e-61,199
AT1G02040,AT1G02040.1,Potri.002G143600,Potri.002G143600.1,37.681,70,3.49e-40,147
AT1G02050,AT1G02050.1,Potri.014G056300,Potri.014G056300.2,80.153,99,0,645
AT1G02060,AT1G02060.1,Potri.014G056400,Potri.014G056400.1,63.704,95,0,913
AT1G02065,AT1G02065.1,Potri.002G142200,Potri.002G142200.3,48.521,94,4.72e-89,270
AT1G02070,AT1G02070.1,Potri.014G058300,Potri.014G058300.1,53.731,100,3.97e-41,134
AT1G02080,AT1G02080.1,Potri.002G143000,Potri.002G143000.5,63.404,98,0,3055
AT1G02090,AT1G02090.1,Potri.002G137400,Potri.002G137400.1,77.606,99,4.04e-153,427
AT1G02100,AT1G02100.3,Potri.014G047300,Potri.014G047300.2,78.395,95,0,531
AT1G02110,AT1G02110.1,Potri.014G047400,Potri.014G047400.1,60.755,100,0,864
AT1G02120,AT1G02120.1,Potri.014G047600,Potri.014G047600.2,52.318,92,0,580
AT1G02130,AT1G02130.1,Potri.002G138400,Potri.002G138400.2,90.196,100,1.25e-141,394
AT1G02140,AT1G02140.1,Potri.002G138500,Potri.002G138500.2,88.889,100,7.98e-99,281
AT1G02145,AT1G02145.3,Potri.002G139200,Potri.002G139200.3,68.966,99,0,706
AT1G02150,AT1G02150.1,Potri.002G139400,Potri.002G139400.1,63.704,100,0,714
AT1G02160,AT1G02160.2,Potri.014G051850,Potri.014G051850.1,76.786,61,2.28e-25,90.5
AT1G02170,AT1G02170.1,Potri.014G052500,Potri.014G052500.1,77.198,96,0,551
AT1G02180,AT1G02180.1,Potri.014G044500,Potri.014G044500.1,63.351,84,7.78e-92,270
AT1G02190,AT1G02190.1,Potri.014G152900,Potri.014G152900.1,60.863,99,0,753
AT1G02205,AT1G02205.3,Potri.014G180300,Potri.014G180300.6,63.477,99,0,820
AT1G02220,AT1G02220.1,Potri.010G174600,Potri.010G174600.2,32.911,52,3.39e-26,108
AT1G02250,AT1G02250.1,Potri.002G182400,Potri.002G182400.3,33.929,60,5.68e-32,126
AT1G02260,AT1G02260.1,Potri.015G146900,Potri.015G146900.1,65.88,100,0,705
AT1G02270,AT1G02270.1,Potri.014G108200,Potri.014G108200.1,65.333,91,0,612
AT1G02280,AT1G02280.1,Potri.014G109400,Potri.014G109400.1,67.119,99,5.39e-150,422
AT1G02290,AT1G02290.1,Potri.002G184000,Potri.002G184000.1,44.828,62,1.68e-74,245
AT1G02300,AT1G02300.1,Potri.002G184201,Potri.002G184201.2,66.116,95,6.32e-179,501
AT1G02305,AT1G02305.1,Potri.002G184300,Potri.002G184300.6,77.676,90,0,550
AT1G02310,AT1G02310.1,Potri.002G184500,Potri.002G184500.1,58.594,92,1.96e-151,435
AT1G02330,AT1G02330.1,Potri.014G110200,Potri.014G110200.1,71.53,100,3.32e-140,396
AT1G02335,AT1G02335.1,Potri.002G184900,Potri.002G184900.2,72.059,93,1.48e-109,313
AT1G02340,AT1G02340.1,Potri.005G001800,Potri.005G001800.3,31.176,54,1.11e-15,77.8
AT1G02360,AT1G02360.1,Potri.014G111800,Potri.014G111800.1,71.062,99,2.75e-149,419
AT1G02370,AT1G02370.1,Potri.002G194400,Potri.002G194400.1,48.755,87,5.39e-167,483
AT1G02380,AT1G02380.1,Potri.010G148200,Potri.010G148200.13,32.877,88,8.11e-21,88.2
AT1G02390,AT1G02390.1,Potri.002G192600,Potri.002G192600.1,61.477,93,0,602
AT1G02400,AT1G02400.1,Potri.002G191900,Potri.002G191900.1,59.821,99,4.4e-138,395
AT1G02410,AT1G02410.1,Potri.001G078500,Potri.001G078500.2,89.759,58,4.35e-112,321
AT1G02420,AT1G02420.1,Potri.007G079400,Potri.007G079400.3,67.068,99,0,696
AT1G02430,AT1G02430.1,Potri.005G007400,Potri.005G007400.2,48.936,97,8.89e-57,177
AT1G02440,AT1G02440.1,Potri.013G005500,Potri.013G005500.3,45.699,97,3.14e-55,173
AT1G02460,AT1G02460.1,Potri.014G115700,Potri.014G115700.1,66.075,87,0,601
AT1G02470,AT1G02470.2,Potri.002G190300,Potri.002G190300.1,61.184,68,9.83e-70,213
AT1G02475,AT1G02475.1,Potri.002G190300,Potri.002G190300.1,75,76,9.94e-92,269
AT1G02500,AT1G02500.1,Potri.014G114700,Potri.014G114700.1,94.924,100,0,745
AT1G02510,AT1G02510.1,Potri.014G113700,Potri.014G113700.1,44.521,92,3.39e-72,227
AT1G02520,AT1G02520.1,Potri.002G187500,Potri.002G187500.6,74.596,99,0,1956
AT1G02530,AT1G02530.1,Potri.002G187500,Potri.002G187500.6,73.61,99,0,1901
AT1G02550,AT1G02550.1,Potri.014G119200,Potri.014G119200.1,39.073,62,2.12e-24,97.8
AT1G02560,AT1G02560.1,Potri.014G119700,Potri.014G119700.1,85.816,92,1.1e-179,498
AT1G02570,AT1G02570.1,Potri.014G119900,Potri.014G119900.1,38.462,85,1.12e-50,168
AT1G02575,AT1G02575.1,Potri.014G119900,Potri.014G119900.1,40,92,8.62e-43,148
AT1G02580,AT1G02580.1,Potri.002G195700,Potri.002G195700.1,52.874,93,1.96e-118,377
AT1G02590,AT1G02590.1,Potri.009G153600,Potri.009G153600.2,61.905,70,2.55e-19,81.3
AT1G02610,AT1G02610.1,Potri.014G121900,Potri.014G121900.1,48.927,100,1.07e-74,226
AT1G02620,AT1G02620.1,Potri.005G019100,Potri.005G019100.1,84.821,91,6.18e-69,206
AT1G02630,AT1G02630.1,Potri.018G130000,Potri.018G130000.1,66.08,100,0,548
AT1G02640,AT1G02640.1,Potri.002G197200,Potri.002G197200.1,75.368,96,0,1207
AT1G02650,AT1G02650.1,Potri.002G197300,Potri.002G197300.3,56.801,99,0,558
AT1G02660,AT1G02660.1,Potri.002G197900,Potri.002G197900.1,54.993,100,0,736
AT1G02670,AT1G02670.1,Potri.014G154600,Potri.014G154600.4,51.277,84,1.68e-156,474
AT1G02680,AT1G02680.1,Potri.014G122500,Potri.014G122500.2,75.701,81,3.17e-56,171
AT1G02690,AT1G02690.2,Potri.008G214100,Potri.008G214100.1,72.862,99,0,804
AT1G02700,AT1G02700.1,Potri.014G124500,Potri.014G124500.1,48.235,99,8.23e-64,199
AT1G02720,AT1G02720.1,Potri.002G200200,Potri.002G200200.1,75.41,99,0,556
AT1G02730,AT1G02730.1,Potri.014G125100,Potri.014G125100.1,80.537,100,0,1943
AT1G02740,AT1G02740.1,Potri.014G022400,Potri.014G022400.3,49.691,97,4.1e-108,318
AT1G02750,AT1G02750.1,Potri.005G020900,Potri.005G020900.1,38.117,97,3.94e-37,129
AT1G02780,AT1G02780.1,Potri.004G078000,Potri.004G078000.1,87.907,100,1.19e-119,338
AT1G02790,AT1G02790.1,Potri.002G202200,Potri.002G202200.1,49.398,96,1.27e-137,400
AT1G02800,AT1G02800.1,Potri.002G202400,Potri.002G202400.1,75.806,98,0,774
AT1G02810,AT1G02810.1,Potri.002G202600,Potri.002G202600.1,65.571,99,0,758
AT1G02813,AT1G02813.1,Potri.014G127500,Potri.014G127500.1,47.183,94,4.09e-43,140
AT1G02816,AT1G02816.1,Potri.002G203400,Potri.002G203400.2,61.078,97,9.16e-71,211
AT1G02820,AT1G02820.1,Potri.002G203500,Potri.002G203500.1,48.913,95,2.83e-20,78.2
AT1G02830,AT1G02830.1,Potri.005G024400,Potri.005G024400.1,69.919,96,2.23e-47,149
AT1G02840,AT1G02840.1,Potri.002G205025,Potri.002G205025.1,74.074,71,2.12e-102,302
AT1G02850,AT1G02850.4,Potri.008G094200,Potri.008G094200.4,42.694,97,2.31e-152,446
AT1G02860,AT1G02860.1,Potri.014G130300,Potri.014G130300.1,68.452,100,3.85e-159,448
AT1G02870,AT1G02870.1,Potri.014G130400,Potri.014G130400.1,68.912,99,6.05e-97,280
AT1G02880,AT1G02880.3,Potri.002G205800,Potri.002G205800.7,74.409,95,8.91e-144,404
AT1G02890,AT1G02890.1,Potri.014G131000,Potri.014G131000.2,66.868,91,0,1526
AT1G02900,AT1G02900.1,Potri.005G025800,Potri.005G025800.1,59.2,100,4.96e-41,132
AT1G02910,AT1G02910.1,Potri.002G206300,Potri.002G206300.1,72.273,96,0,639
AT1G02920,AT1G02920.1,Potri.002G207479,Potri.002G207479.1,62.201,99,6.99e-90,263
AT1G02930,AT1G02930.1,Potri.002G207479,Potri.002G207479.1,62.019,99,1.65e-91,267
AT1G02940,AT1G02940.1,Potri.002G207479,Potri.002G207479.1,52.427,80,1.26e-73,224
AT1G02950,AT1G02950.2,Potri.002G207479,Potri.002G207479.1,58.252,84,6.3e-87,257
AT1G02960,AT1G02960.2,Potri.002G208058,Potri.002G208058.1,30.492,99,9.81e-61,207
AT1G02970,AT1G02970.1,Potri.002G208251,Potri.002G208251.1,60.121,98,0,579
AT1G02980,AT1G02980.1,Potri.008G217300,Potri.008G217300.6,66.486,99,0,1043
AT1G02990,AT1G02990.3,Potri.014G132900,Potri.014G132900.1,56.333,50,4.84e-86,310
AT1G03000,AT1G03000.1,Potri.014G133000,Potri.014G133000.1,65.935,100,0,1192
AT1G03010,AT1G03010.1,Potri.002G209700,Potri.002G209700.1,71.963,100,0,938
AT1G03020,AT1G03020.1,Potri.014G134000,Potri.014G134000.1,68.269,100,5.97e-51,156
AT1G03030,AT1G03030.1,Potri.005G218700,Potri.005G218700.5,77.419,82,1.39e-147,417
AT1G03040,AT1G03040.1,Potri.005G217800,Potri.005G217800.1,66.562,99,2.19e-115,335
AT1G03050,AT1G03050.1,Potri.006G118100,Potri.006G118100.1,62.5,99,0,729
AT1G03055,AT1G03055.1,Potri.005G216400,Potri.005G216400.2,55.251,83,1.6e-86,259
AT1G03060,AT1G03060.1,Potri.005G215400,Potri.005G215400.1,75.436,99,0,5545
AT1G03070,AT1G03070.1,Potri.002G049000,Potri.002G049000.1,78.689,98,2.85e-140,394
AT1G03080,AT1G03080.1,Potri.002G049600,Potri.002G049600.1,48.455,99,0,1514
AT1G03090,AT1G03090.2,Potri.005G213300,Potri.005G213300.6,73.243,99,0,1101
AT1G03100,AT1G03100.1,Potri.005G212400,Potri.005G212400.3,69.68,91,0,1044
AT1G03103,AT1G03103.1,Potri.010G085400,Potri.010G085400.1,47.656,74,1.08e-30,110
AT1G03110,AT1G03110.1,Potri.005G211600,Potri.005G211600.2,62.125,99,0,548
AT1G03120,AT1G03120.1,Potri.005G048000,Potri.005G048000.1,58.871,68,1.31e-31,115
AT1G03130,AT1G03130.1,Potri.010G089400,Potri.010G089400.1,74.038,100,1.6e-105,302
AT1G03140,AT1G03140.1,Potri.005G210600,Potri.005G210600.1,67.696,100,0,553
AT1G03150,AT1G03150.1,Potri.005G210400,Potri.005G210400.2,94.286,100,2.26e-125,350
AT1G03160,AT1G03160.1,Potri.005G209200,Potri.005G209200.1,60.99,93,0,1048
AT1G03170,AT1G03170.1,Potri.005G209100,Potri.005G209100.1,38.34,93,2.52e-34,125
AT1G03180,AT1G03180.1,Potri.005G208700,Potri.005G208700.1,55.303,94,5.48e-102,298
AT1G03190,AT1G03190.1,Potri.002G054000,Potri.002G054000.1,87.484,100,0,1410
AT1G03210,AT1G03210.1,Potri.010G175700,Potri.010G175700.1,61.204,99,6.94e-122,351
AT1G03220,AT1G03220.1,Potri.002G054900,Potri.002G054900.1,67.857,96,0,568
AT1G03230,AT1G03230.1,Potri.002G054900,Potri.002G054900.1,64.286,95,0,540
AT1G03250,AT1G03250.2,Potri.019G046400,Potri.019G046400.1,66.403,100,2.03e-108,313
AT1G03260,AT1G03260.1,Potri.010G030800,Potri.010G030800.4,65.934,99,1.06e-117,339
AT1G03270,AT1G03270.1,Potri.008G202100,Potri.008G202100.1,73.043,90,0,644
AT1G03280,AT1G03280.1,Potri.015G051000,Potri.015G051000.1,63.441,94,0,566
AT1G03290,AT1G03290.1,Potri.014G139000,Potri.014G139000.5,43.421,98,3.12e-116,356
AT1G03300,AT1G03300.1,Potri.002G192300,Potri.002G192300.6,38.929,70,1.43e-45,175
AT1G03310,AT1G03310.2,Potri.002G219900,Potri.002G219900.1,56.724,92,0,957
AT1G03330,AT1G03330.1,Potri.004G219000,Potri.004G219000.2,95.745,100,1.35e-62,185
AT1G03340,AT1G03340.1,Potri.014G138200,Potri.014G138200.2,38.369,99,3.14e-83,260
AT1G03350,AT1G03350.1,Potri.010G028801,Potri.010G028801.1,39.308,98,8e-85,269
AT1G03360,AT1G03360.1,Potri.003G194400,Potri.003G194400.2,68.111,99,3.33e-164,460
AT1G03365,AT1G03365.1,Potri.008G198300,Potri.008G198300.1,39.933,97,1.49e-166,506
AT1G03370,AT1G03370.1,Potri.016G003900,Potri.016G003900.3,66.992,99,0,1407
AT1G03380,AT1G03380.1,Potri.013G028200,Potri.013G028200.4,54.976,84,0,778
AT1G03390,AT1G03390.1,Potri.006G157100,Potri.006G157100.1,65.517,99,0,626
AT1G03400,AT1G03400.1,Potri.008G165400,Potri.008G165400.2,52.646,99,9.11e-133,384
AT1G03410,AT1G03410.1,Potri.010G073166,Potri.010G073166.1,54.848,90,1.08e-138,400
AT1G03430,AT1G03430.1,Potri.016G113500,Potri.016G113500.1,66.216,94,1.09e-70,210
AT1G03440,AT1G03440.1,Potri.014G136100,Potri.014G136100.1,73.879,95,0,584
AT1G03445,AT1G03445.1,Potri.014G135800,Potri.014G135800.4,52.069,99,0,845
AT1G03457,AT1G03457.2,Potri.014G135540,Potri.014G135540.1,63.636,94,0,533
AT1G03470,AT1G03470.1,Potri.002G207700,Potri.002G207700.4,67.816,66,1.36e-35,132
AT1G03475,AT1G03475.1,Potri.011G023900,Potri.011G023900.2,84.89,94,0,620
AT1G03495,AT1G03495.1,Potri.019G118000,Potri.019G118000.1,40.466,99,6.12e-115,346
AT1G03510,AT1G03510.1,Potri.018G035900,Potri.018G035900.1,38.421,88,8.72e-88,278
AT1G03520,AT1G03520.1,Potri.013G145500,Potri.013G145500.3,71.91,98,0,668
AT1G03540,AT1G03540.1,Potri.013G145000,Potri.013G145000.1,58.911,99,0,756
AT1G03550,AT1G03550.1,Potri.013G144700,Potri.013G144700.1,71.242,100,3.51e-150,422
AT1G03560,AT1G03560.1,Potri.019G103400,Potri.019G103400.3,68.878,95,0,911
AT1G03590,AT1G03590.1,Potri.013G144100,Potri.013G144100.1,72.746,99,0,691
AT1G03600,AT1G03600.1,Potri.005G206200,Potri.005G206200.1,75,80,9.97e-70,209
AT1G03610,AT1G03610.1,Potri.013G144000,Potri.013G144000.1,67.203,96,1.76e-145,412
AT1G03620,AT1G03620.1,Potri.013G136200,Potri.013G136200.9,68.421,99,1.85e-133,379
AT1G03630,AT1G03630.1,Potri.013G135500,Potri.013G135500.1,80.446,100,0,630
AT1G03650,AT1G03650.1,Potri.013G134102,Potri.013G134102.2,73.203,96,3.62e-83,242
AT1G03670,AT1G03670.1,Potri.011G133400,Potri.011G133400.1,31.904,91,8.79e-77,255
AT1G03680,AT1G03680.1,Potri.001G401500,Potri.001G401500.3,52.632,80,1.06e-54,172
AT1G03687,AT1G03687.1,Potri.013G132100,Potri.013G132100.1,65.689,88,1.77e-161,459
AT1G03700,AT1G03700.1,Potri.013G131700,Potri.013G131700.1,62.5,87,1.44e-62,191
AT1G03730,AT1G03730.1,Potri.013G130300,Potri.013G130300.1,69.182,95,9.04e-65,196
AT1G03740,AT1G03740.1,Potri.013G130000,Potri.013G130000.3,49.776,83,0,616
AT1G03750,AT1G03750.1,Potri.017G012400,Potri.017G012400.1,65.27,99,0,1165
AT1G03760,AT1G03760.1,Potri.017G012500,Potri.017G012500.2,41.579,96,8.63e-71,228
AT1G03770,AT1G03770.2,Potri.007G138700,Potri.007G138700.1,53.418,81,1.78e-118,357
AT1G03780,AT1G03780.3,Potri.007G138600,Potri.007G138600.3,57.553,95,0,815
AT1G03790,AT1G03790.1,Potri.017G013400,Potri.017G013400.1,45.519,100,3.06e-97,295
AT1G03810,AT1G03810.1,Potri.017G014400,Potri.017G014400.1,65.693,93,2.27e-63,191
AT1G03830,AT1G03830.2,Potri.004G049400,Potri.004G049400.1,35.76,99,7.42e-177,545
AT1G03840,AT1G03840.1,Potri.017G017100,Potri.017G017100.1,54.545,100,9.8e-166,478
AT1G03850,AT1G03850.1,Potri.007G134800,Potri.007G134800.1,42.138,91,3.48e-25,95.1
AT1G03860,AT1G03860.1,Potri.007G134700,Potri.007G134700.2,83.509,99,1.34e-178,494
AT1G03870,AT1G03870.1,Potri.013G120600,Potri.013G120600.1,57.709,91,2.11e-72,221
AT1G03880,AT1G03880.1,Potri.005G224700,Potri.005G224700.3,47.768,94,1.46e-136,401
AT1G03890,AT1G03890.1,Potri.005G224700,Potri.005G224700.3,43.807,92,1.7e-128,380
AT1G03900,AT1G03900.1,Potri.002G036400,Potri.002G036400.2,75.61,100,1.58e-133,379
AT1G03905,AT1G03905.1,Potri.002G036300,Potri.002G036300.1,81.69,96,7.95e-174,483
AT1G03910,AT1G03910.2,Potri.006G118700,Potri.006G118700.1,71.192,92,0,909
AT1G03920,AT1G03920.1,Potri.005G226700,Potri.005G226700.2,78.505,93,0,877
AT1G03930,AT1G03930.1,Potri.010G070400,Potri.010G070400.2,77.542,99,0,690
AT1G03940,AT1G03940.1,Potri.019G118000,Potri.019G118000.1,41.791,98,7.07e-119,357
AT1G03950,AT1G03950.1,Potri.002G035900,Potri.002G035900.1,79.048,99,8.04e-121,342
AT1G03960,AT1G03960.1,Potri.002G035800,Potri.002G035800.1,71.402,100,0,802
AT1G03970,AT1G03970.1,Potri.005G192900,Potri.005G192900.1,54.808,69,5.67e-49,165
AT1G03980,AT1G03980.1,Potri.014G195800,Potri.014G195800.1,63.872,99,0,611
AT1G03982,AT1G03982.1,Potri.002G035500,Potri.002G035500.1,40.212,78,3.65e-22,90.5
AT1G03990,AT1G03990.1,Potri.010G069100,Potri.010G069100.2,53.826,97,0,794
AT1G04000,AT1G04000.1,Potri.002G259400,Potri.002G259400.1,47.5,100,9.64e-33,114
AT1G04010,AT1G04010.1,Potri.014G195500,Potri.014G195500.2,77.974,98,0,1045
AT1G04020,AT1G04020.1,Potri.002G259000,Potri.002G259000.2,49.163,78,6.61e-156,471
