Ligand_Ath,Receptor_Ath,Ligand_Ptr,Receptor_Ptr
AT1G12560,AT2G26420,Potri.001G112901,Potri.004G139900
AT1G12560,AT2G41970,Potri.001G112901,Potri.016G059600
AT1G12560,AT3G60280,Potri.001G112901,Potri.014G049600
AT1G12560,AT4G34580,Potri.001G112901,Potri.004G157600
AT1G13900,AT4G23260,Potri.010G160500,Potri.011G029201
AT1G14700,AT1G65590,Potri.008G139125,Potri.008G079400
AT1G15000,AT1G08230,Potri.008G129800,Potri.009G149900
AT1G15020,AT1G24140,Potri.008G127300,Potri.012G104600
AT1G15020,AT2G45040,Potri.008G127300,Potri.014G058200
AT1G15020,AT1G59970,Potri.008G127300,Potri.015G103900
AT1G15020,AT1G70170,Potri.008G127300,Potri.012G104600
AT1G15020,AT4G16640,Potri.008G127300,Potri.001G157500
AT1G15190,AT1G19770,Potri.019G002300,Potri.001G352100
AT1G15190,AT2G24450,Potri.019G002300,Potri.018G005100
AT1G15190,AT3G46550,Potri.019G002300,Potri.006G174900
AT1G19940,AT5G19240,Potri.005G237700,Potri.008G195000
AT1G19940,AT4G12730,Potri.005G237700,Potri.014G168100
AT1G19940,AT5G17420,Potri.005G237700,Potri.006G181900
AT1G19940,AT2G22125,Potri.005G237700,Potri.007G087200
AT1G19940,AT4G18780,Potri.005G237700,Potri.004G059600
AT1G19940,AT5G19250,Potri.005G237700,Potri.008G195000
AT1G19940,AT5G05170,Potri.005G237700,Potri.001G266400
AT1G19940,AT2G25540,Potri.005G237700,Potri.006G251900
AT1G19940,AT3G06035,Potri.005G237700,Potri.008G195000
AT1G19940,AT4G32410,Potri.005G237700,Potri.006G251900
AT1G19940,AT5G19230,Potri.005G237700,Potri.008G195000
AT1G20160,AT1G70410,Potri.002G018600,Potri.010G041100
AT1G20190,AT4G25100,Potri.002G017900,Potri.015G110400
AT1G21880,AT2G39660,Potri.002G084800,Potri.010G203400
AT1G21880,AT1G51940,Potri.002G084800,Potri.001G190200
AT1G21880,AT5G20480,Potri.002G084800,Potri.008G034000
AT1G21880,AT3G21630,Potri.002G084800,Potri.002G226600
AT1G21880,AT1G73080,Potri.002G084800,Potri.008G009300
AT1G21880,AT2G33580,Potri.002G084800,Potri.005G259600
AT1G22690,AT5G39000,Potri.019G083900,Potri.017G095900
AT1G22690,AT5G38990,Potri.019G083900,Potri.017G096000
AT1G22690,AT3G01500,Potri.019G083900,Potri.001G348900
AT1G26390,AT5G25260,Potri.011G155900,Potri.006G258900
AT1G26420,AT5G25260,Potri.001G459200,Potri.006G258900
AT1G26420,AT2G19190,Potri.001G459200,Potri.019G094700
AT1G26420,AT1G51890,Potri.001G459200,Potri.019G094700
AT1G26420,AT1G65690,Potri.001G459200,Potri.015G148200
AT1G26420,AT1G74360,Potri.001G459200,Potri.015G061600
AT1G26600,AT1G75820,Potri.008G093500,Potri.005G241500
AT1G26600,AT5G61480,Potri.008G093500,Potri.003G107600
AT1G28270,AT3G04690,Potri.004G044900,Potri.013G042500
AT1G28270,AT1G30570,Potri.004G044900,Potri.001G467000
AT1G28270,AT2G20700,Potri.004G044900,Potri.019G095200
AT1G28490,AT2G33120,Potri.004G050800,Potri.003G177700
AT1G28490,AT3G07160,Potri.004G050800,Potri.001G011900
AT1G28490,AT4G19640,Potri.004G050800,Potri.012G117800
AT1G28490,AT4G35100,Potri.004G050800,Potri.004G176300
AT1G28490,AT2G32670,Potri.004G050800,Potri.003G177700
AT1G28490,AT5G58060,Potri.004G050800,Potri.006G187700
AT1G28490,AT3G11820,Potri.004G050800,Potri.006G202200
AT1G28490,AT1G04750,Potri.004G050800,Potri.003G177700
AT1G28490,AT5G58180,Potri.004G050800,Potri.006G187700
AT1G28490,AT4G15780,Potri.004G050800,Potri.008G209100
AT1G28490,AT5G08080,Potri.004G050800,Potri.019G036700
AT1G28490,AT5G45750,Potri.004G050800,Potri.011G070300
AT1G28490,AT1G04760,Potri.004G050800,Potri.003G177700
AT1G29660,AT1G18280,Potri.004G064500,Potri.015G036201
AT1G29670,AT5G10770,Potri.004G064500,Potri.018G015100
AT1G29670,AT1G18280,Potri.004G064500,Potri.015G036201
AT1G30700,AT5G22300,Potri.011G158300,Potri.004G199600
AT1G30700,AT5G57090,Potri.011G158300,Potri.018G139400
AT1G30700,AT4G15610,Potri.011G158300,Potri.008G205000
AT1G30710,AT5G10770,Potri.011G158400,Potri.018G015100
AT1G30760,AT5G64440,Potri.011G158700,Potri.001G285900
AT1G30870,AT4G19680,Potri.003G156100,Potri.015G117900
AT1G30870,AT5G49270,Potri.003G156100,Potri.010G001100
AT1G31550,AT5G43470,Potri.004G054300,Potri.018G138500
AT1G31670,AT1G24140,Potri.010G089050,Potri.012G104600
AT1G31670,AT2G45040,Potri.010G089050,Potri.014G058200
AT1G31670,AT1G59970,Potri.010G089050,Potri.015G103900
AT1G31670,AT1G70170,Potri.010G089050,Potri.012G104600
AT1G31670,AT4G16640,Potri.010G089050,Potri.001G157500
AT1G32860,AT4G26690,Potri.001G449100,Potri.001G360800
AT1G32860,AT5G55480,Potri.001G449100,Potri.001G360800
AT1G34245,AT5G60880,Potri.013G116600,Potri.015G048600
AT1G34245,AT1G63700,Potri.013G116600,Potri.001G102900
AT1G34245,AT2G26330,Potri.013G116600,Potri.006G220100
AT1G34245,AT1G80080,Potri.013G116600,Potri.001G202100
AT1G34245,AT5G62230,Potri.013G116600,Potri.012G130400
AT1G34245,AT2G02220,Potri.013G116600,Potri.008G144700
AT1G34245,AT5G07180,Potri.013G116600,Potri.012G130400
AT1G34510,AT2G20520,Potri.013G066800,Potri.013G120600
AT1G35140,AT2G27080,Potri.005G163700,Potri.009G158900
AT1G35140,AT2G35980,Potri.005G163700,Potri.016G071600
AT1G47710,AT3G09840,Potri.014G036000,Potri.015G080600
AT1G47710,AT1G24140,Potri.014G036000,Potri.012G104600
AT1G47710,AT1G54280,Potri.014G036000,Potri.001G197500
AT1G47710,AT4G16640,Potri.014G036000,Potri.001G157500
AT1G47710,AT2G45040,Potri.014G036000,Potri.014G058200
AT1G47710,AT1G65590,Potri.014G036000,Potri.008G079400
AT1G47710,AT4G04340,Potri.014G036000,Potri.011G009900
AT1G47710,AT1G70170,Potri.014G036000,Potri.012G104600
AT1G47710,AT3G13900,Potri.014G036000,Potri.001G197500
AT1G47710,AT3G25610,Potri.014G036000,Potri.012G058000
AT1G47710,AT1G59970,Potri.014G036000,Potri.015G103900
AT1G47710,AT1G32090,Potri.014G036000,Potri.001G133800
AT1G47710,AT1G55350,Potri.014G036000,Potri.003G221100
AT1G47710,AT1G64060,Potri.014G036000,Potri.003G133300
AT1G48930,AT5G49270,Potri.007G071200,Potri.010G001100
AT1G53130,AT3G14380,Potri.011G118600,Potri.001G436400
AT1G53130,AT1G50610,Potri.011G118600,Potri.007G002000
AT1G53830,AT3G54920,Potri.003G072800,Potri.010G229000
AT1G53940,AT3G54950,Potri.003G071400,Potri.010G221700
AT1G54970,AT4G19680,Potri.014G126500,Potri.015G117900
AT1G54970,AT1G70460,Potri.014G126500,Potri.008G189700
AT1G54970,AT5G49270,Potri.014G126500,Potri.010G001100
AT1G54970,AT2G20520,Potri.014G126500,Potri.013G120600
AT1G54970,AT4G29180,Potri.014G126500,Potri.019G094700
AT1G56670,AT5G64080,Potri.005G006500,Potri.003G020200
AT1G58250,AT2G26420,Potri.002G110700,Potri.004G139900
AT1G60390,AT4G27290,Potri.008G190000,Potri.001G413800
AT1G61566,AT1G23140,Potri.018G007500,Potri.010G110900
AT1G61566,AT4G23320,Potri.018G007500,Potri.011G028400
AT1G62340,AT3G59420,Potri.011G010700,Potri.017G029900
AT1G62340,AT4G20140,Potri.011G010700,Potri.001G075000
AT1G62340,AT2G20300,Potri.011G010700,Potri.014G194300
AT1G62340,AT5G44700,Potri.011G010700,Potri.003G156200
AT1G62440,AT4G34580,Potri.018G151000,Potri.004G157600
AT1G62440,AT1G70460,Potri.018G151000,Potri.008G189700
AT1G62980,AT1G70460,Potri.001G112901,Potri.008G189700
AT1G62980,AT5G49270,Potri.001G112901,Potri.010G001100
AT1G62980,AT4G34580,Potri.001G112901,Potri.004G157600
AT1G63580,AT2G33330,Potri.011G028400,Potri.008G171700
AT1G63580,AT5G43980,Potri.011G028400,Potri.002G257300
AT1G64390,AT5G65600,Potri.001G092200,Potri.003G094700
AT1G68560,AT4G19640,Potri.008G120000,Potri.012G117800
AT1G68560,AT1G54280,Potri.008G120000,Potri.001G197500
AT1G68560,AT4G04340,Potri.008G120000,Potri.011G009900
AT1G68560,AT3G13900,Potri.008G120000,Potri.001G197500
AT1G68560,AT3G25610,Potri.008G120000,Potri.012G058000
AT1G68560,AT1G32090,Potri.008G120000,Potri.001G133800
AT1G68560,AT1G64060,Potri.008G120000,Potri.003G133300
AT1G68765,AT1G71830,Potri.010G131500,Potri.013G117200
AT1G68765,AT4G28490,Potri.010G131500,Potri.004G049100
AT1G68765,AT2G31880,Potri.010G131500,Potri.012G090500
AT1G68765,AT5G65710,Potri.010G131500,Potri.004G049100
AT1G68765,AT4G35600,Potri.010G131500,Potri.007G062700
AT1G68795,AT1G75820,Potri.010G130400,Potri.005G241500
AT1G68850,AT4G03540,Potri.008G110600,Potri.013G131700
AT1G68850,AT2G48130,Potri.008G110600,Potri.010G085400
AT1G68850,AT1G03103,Potri.008G110600,Potri.010G085400
AT1G68850,AT3G22600,Potri.008G110600,Potri.010G085400
AT1G68850,AT4G14815,Potri.008G110600,Potri.008G155100
AT1G68850,AT1G03700,Potri.008G110600,Potri.013G131700
AT1G69320,AT5G13290,Potri.008G093500,Potri.001G066700
AT1G69320,AT1G65380,Potri.008G093500,Potri.013G087200
AT1G69940,AT3G54920,Potri.012G114900,Potri.010G229000
AT1G71120,AT3G50950,Potri.008G127100,Potri.005G119800
AT1G71695,AT1G49730,Potri.002G065300,Potri.009G100400
AT1G72610,AT3G01500,Potri.006G142600,Potri.001G348900
AT1G72990,AT1G24140,Potri.003G037000,Potri.012G104600
AT1G72990,AT3G09840,Potri.003G037000,Potri.015G080600
AT1G72990,AT2G45040,Potri.003G037000,Potri.014G058200
AT1G72990,AT1G65590,Potri.003G037000,Potri.008G079400
AT1G72990,AT1G05590,Potri.003G037000,Potri.001G232600
AT1G72990,AT1G59970,Potri.003G037000,Potri.015G103900
AT1G72990,AT1G70170,Potri.003G037000,Potri.012G104600
AT1G72990,AT1G55350,Potri.003G037000,Potri.003G221100
AT1G72990,AT4G16640,Potri.003G037000,Potri.001G157500
AT1G73370,AT1G06490,Potri.015G029100,Potri.002G058700
AT1G73965,AT1G75820,Potri.010G130400,Potri.005G241500
AT1G74210,AT1G32050,Potri.015G058400,Potri.001G134100
AT1G74670,AT4G37220,Potri.017G083000,Potri.007G033801
AT1G74820,AT1G51340,Potri.015G068200,Potri.009G053700
AT1G74820,AT2G39060,Potri.015G068200,Potri.019G030500
AT1G75040,AT1G21250,Potri.014G040700,Potri.002G075951
AT1G75040,AT2G32680,Potri.014G040700,Potri.001G400500
AT1G75450,AT1G73590,Potri.005G232300,Potri.012G047200
AT1G75680,AT1G55260,Potri.002G023900,Potri.001G008500
AT1G75680,AT5G65270,Potri.002G023900,Potri.007G096000
AT1G75880,AT5G13750,Potri.005G242800,Potri.008G010600
AT1G75880,AT3G20410,Potri.005G242800,Potri.004G015500
AT1G76850,AT3G53610,Potri.002G068900,Potri.010G208900
AT1G76850,AT3G09900,Potri.002G068900,Potri.008G051700
AT1G76850,AT5G03520,Potri.002G068900,Potri.008G051700
AT1G76850,AT3G46060,Potri.002G068900,Potri.010G208900
AT1G78580,AT4G24040,Potri.011G103900,Potri.003G144000
AT1G78660,AT3G09840,Potri.003G026800,Potri.015G080600
AT1G78660,AT2G45040,Potri.003G026800,Potri.014G058200
AT1G78660,AT1G65590,Potri.003G026800,Potri.008G079400
AT1G78660,AT1G70170,Potri.003G026800,Potri.012G104600
AT1G78660,AT1G14040,Potri.003G026800,Potri.008G090400
AT1G78660,AT1G24140,Potri.003G026800,Potri.012G104600
AT1G78660,AT1G59970,Potri.003G026800,Potri.015G103900
AT1G78660,AT5G43350,Potri.003G026800,Potri.005G223600
AT1G78660,AT4G16640,Potri.003G026800,Potri.001G157500
AT1G78670,AT3G09840,Potri.003G026800,Potri.015G080600
AT1G78670,AT2G45040,Potri.003G026800,Potri.014G058200
AT1G78670,AT1G65590,Potri.003G026800,Potri.008G079400
AT1G78670,AT1G70170,Potri.003G026800,Potri.012G104600
AT1G78670,AT1G14040,Potri.003G026800,Potri.008G090400
AT1G78670,AT1G24140,Potri.003G026800,Potri.012G104600
AT1G78670,AT1G59970,Potri.003G026800,Potri.015G103900
AT1G78670,AT5G43350,Potri.003G026800,Potri.005G223600
AT1G78670,AT4G16640,Potri.003G026800,Potri.001G157500
AT1G78680,AT3G09840,Potri.003G026800,Potri.015G080600
AT1G78680,AT2G45040,Potri.003G026800,Potri.014G058200
AT1G78680,AT1G65590,Potri.003G026800,Potri.008G079400
AT1G78680,AT1G70170,Potri.003G026800,Potri.012G104600
AT1G78680,AT1G14040,Potri.003G026800,Potri.008G090400
AT1G78680,AT1G24140,Potri.003G026800,Potri.012G104600
AT1G78680,AT1G59970,Potri.003G026800,Potri.015G103900
AT1G78680,AT5G43350,Potri.003G026800,Potri.005G223600
AT1G78680,AT4G16640,Potri.003G026800,Potri.001G157500
AT1G78850,AT3G14840,Potri.011G110500,Potri.001G385200
AT1G80133,AT3G28890,Potri.018G130700,Potri.012G027600
AT1G80133,AT5G27060,Potri.018G130700,Potri.001G389100
AT1G80133,AT3G05650,Potri.018G130700,Potri.001G389100
AT1G80133,AT1G07390,Potri.018G130700,Potri.018G118035
AT1G80170,AT4G26320,Potri.001G171900,Potri.003G220932
AT1G80170,AT3G13520,Potri.001G171900,Potri.003G220932
AT2G01270,AT1G24140,Potri.008G127300,Potri.012G104600
AT2G01270,AT2G45040,Potri.008G127300,Potri.014G058200
AT2G01270,AT1G59970,Potri.008G127300,Potri.015G103900
AT2G01270,AT3G08710,Potri.008G127300,Potri.006G110100
AT2G01270,AT1G70170,Potri.008G127300,Potri.012G104600
AT2G01270,AT4G16640,Potri.008G127300,Potri.001G157500
AT2G02100,AT3G11660,Potri.T011301,Potri.006G204200
AT2G02130,AT3G24620,Potri.T011301,Potri.018G082400
AT2G04160,AT4G15630,Potri.014G171600,Potri.008G205100
AT2G04160,AT4G15620,Potri.014G171600,Potri.008G205100
AT2G05920,AT1G70410,Potri.006G141200,Potri.010G041100
AT2G06850,AT5G44130,Potri.001G071000,Potri.013G120600
AT2G06850,AT4G12730,Potri.001G071000,Potri.014G168100
AT2G06925,AT3G17980,Potri.018G132100,Potri.012G047100
AT2G06925,AT3G15730,Potri.018G132100,Potri.003G032800
AT2G06925,AT1G55180,Potri.018G132100,Potri.003G037700
AT2G06925,AT5G58670,Potri.018G132100,Potri.001G252300
AT2G06925,AT3G03530,Potri.018G132100,Potri.013G073600
AT2G06925,AT3G53420,Potri.018G132100,Potri.006G128200
AT2G06925,AT4G35790,Potri.018G132100,Potri.005G105600
AT2G14610,AT5G15410,Potri.009G083300,Potri.017G089800
AT2G14610,AT2G19190,Potri.009G083300,Potri.019G094700
AT2G15230,AT2G31680,Potri.009G094900,Potri.002G231800
AT2G15230,AT4G35020,Potri.009G094900,Potri.004G174900
AT2G15230,AT1G05810,Potri.009G094900,Potri.002G231800
AT2G17230,AT1G47670,Potri.009G167800,Potri.014G036500
AT2G18660,AT4G11890,Potri.006G179300,Potri.011G030012
AT2G18660,AT4G23150,Potri.006G179300,Potri.011G028400
AT2G18660,AT4G23140,Potri.006G179300,Potri.011G028400
AT2G18660,AT2G32680,Potri.006G179300,Potri.001G400500
AT2G19010,AT2G19130,Potri.011G076500,Potri.019G119200
AT2G19050,AT2G36590,Potri.019G008402,Potri.010G194600
AT2G19050,AT2G19130,Potri.019G008402,Potri.019G119200
AT2G19060,AT2G19130,Potri.011G076500,Potri.019G119200
AT2G19150,AT2G19130,Potri.017G054700,Potri.019G119200
AT2G19500,AT1G27320,Potri.006G152500,Potri.003G171000
AT2G19690,AT2G07040,Potri.006G149700,Potri.018G147300
AT2G20750,AT1G16150,Potri.013G134300,Potri.001G039200
AT2G20875,AT5G07180,Potri.013G136100,Potri.012G130400
AT2G20875,AT4G17870,Potri.013G136100,Potri.001G142500
AT2G20875,AT5G60880,Potri.013G136100,Potri.015G048600
AT2G20875,AT1G63700,Potri.013G136100,Potri.001G102900
AT2G20875,AT2G26330,Potri.013G136100,Potri.006G220100
AT2G20875,AT1G80080,Potri.013G136100,Potri.001G202100
AT2G20875,AT5G62230,Potri.013G136100,Potri.012G130400
AT2G21100,AT2G35980,Potri.009G131000,Potri.016G071600
AT2G21110,AT2G21120,Potri.008G061400,Potri.004G168900
AT2G22420,AT5G51110,Potri.005G072800,Potri.012G112400
AT2G22860,AT5G53890,Potri.007G006800,Potri.011G116900
AT2G22860,AT2G02220,Potri.007G006800,Potri.008G144700
AT2G23000,AT3G06035,Potri.013G124900,Potri.008G195000
AT2G23000,AT5G19250,Potri.013G124900,Potri.008G195000
AT2G23540,AT4G03540,Potri.007G036300,Potri.013G131700
AT2G23540,AT4G20390,Potri.007G036300,Potri.001G442300
AT2G23540,AT1G03700,Potri.007G036300,Potri.013G131700
AT2G24560,AT3G28890,Potri.013G153000,Potri.012G027600
AT2G25110,AT5G48380,Potri.006G263200,Potri.002G240000
AT2G25110,AT5G20480,Potri.006G263200,Potri.008G034000
AT2G25110,AT2G31880,Potri.006G263200,Potri.012G090500
AT2G26440,AT2G40540,Potri.006G134600,Potri.019G056500
AT2G26870,AT5G53890,Potri.009G069900,Potri.011G116900
AT2G26870,AT3G15730,Potri.009G069900,Potri.003G032800
AT2G26870,AT5G64070,Potri.009G069900,Potri.005G059000
AT2G26870,AT1G79670,Potri.009G069900,Potri.001G039200
AT2G26870,AT1G17240,Potri.009G069900,Potri.003G074000
AT2G26870,AT1G17230,Potri.009G069900,Potri.011G139700
AT2G26870,AT5G09350,Potri.009G069900,Potri.005G059000
AT2G26870,AT1G55180,Potri.009G069900,Potri.003G037700
AT2G26870,AT5G58670,Potri.009G069900,Potri.001G252300
AT2G26870,AT3G03530,Potri.009G069900,Potri.013G073600
AT2G26870,AT4G35790,Potri.009G069900,Potri.005G105600
AT2G26870,AT1G17250,Potri.009G069900,Potri.003G074000
AT2G28100,AT1G65590,Potri.009G006900,Potri.008G079400
AT2G28100,AT1G05590,Potri.009G006900,Potri.001G232600
AT2G28470,AT2G45470,Potri.009G012400,Potri.014G071700
AT2G28470,AT1G74360,Potri.009G012400,Potri.015G061600
AT2G28670,AT3G11550,Potri.008G049200,Potri.006G208800
AT2G28670,AT5G06200,Potri.008G049200,Potri.006G208800
AT2G28670,AT5G15290,Potri.008G049200,Potri.012G032300
AT2G28670,AT2G36100,Potri.008G049200,Potri.016G075400
AT2G28670,AT2G27370,Potri.008G049200,Potri.009G160000
AT2G29960,AT1G13980,Potri.009G046500,Potri.017G078900
AT2G30210,AT2G44790,Potri.013G152700,Potri.003G047300
AT2G31550,AT4G08670,Potri.013G153000,Potri.005G169000
AT2G31980,AT1G53910,Potri.014G149300,Potri.001G163700
AT2G33790,AT5G53250,Potri.011G053600,Potri.015G022600
AT2G33790,AT5G64080,Potri.011G053600,Potri.003G020200
AT2G33790,AT3G46550,Potri.011G053600,Potri.006G174900
AT2G33790,AT2G04780,Potri.011G053600,Potri.014G162900
AT2G33790,AT2G47930,Potri.011G053600,Potri.014G135100
AT2G34790,AT5G64440,Potri.011G158700,Potri.001G285900
AT2G34810,AT4G23210,Potri.011G158400,Potri.004G025200
AT2G35150,AT4G17660,Potri.015G122100,Potri.001G149100
AT2G35150,AT5G47070,Potri.015G122100,Potri.001G149100
AT2G35860,AT2G04780,Potri.016G066500,Potri.014G162900
AT2G36190,AT5G58090,Potri.016G077400,Potri.006G080600
AT2G36190,AT4G31140,Potri.016G077400,Potri.006G280700
AT2G36190,AT1G66250,Potri.016G077400,Potri.004G086400
AT2G36190,AT1G11820,Potri.016G077400,Potri.011G006100
AT2G36190,AT2G01630,Potri.016G077400,Potri.010G108500
AT2G36190,AT2G39060,Potri.016G077400,Potri.019G030500
AT2G36190,AT3G13560,Potri.016G077400,Potri.003G218500
AT2G36870,AT3G19700,Potri.006G122900,Potri.009G081800
AT2G38080,AT5G15630,Potri.016G112000,Potri.015G060100
AT2G38080,AT4G18780,Potri.016G112000,Potri.004G059600
AT2G38080,AT5G44030,Potri.016G112000,Potri.002G257900
AT2G38080,AT5G03170,Potri.016G112000,Potri.016G088700
AT2G38080,AT5G17420,Potri.016G112000,Potri.006G181900
AT2G38540,AT3G43720,Potri.004G086500,Potri.009G158100
AT2G38540,AT5G37780,Potri.004G086500,Potri.016G024700
AT2G39040,AT5G15460,Potri.012G042800,Potri.017G090700
AT2G40250,AT5G62850,Potri.013G153000,Potri.015G074300
AT2G40250,AT3G18830,Potri.013G153000,Potri.009G113600
AT2G40370,AT2G48130,Potri.008G073700,Potri.010G085400
AT2G40370,AT1G03103,Potri.008G073700,Potri.010G085400
AT2G40370,AT3G22600,Potri.008G073700,Potri.010G085400
AT2G40370,AT4G03540,Potri.008G073700,Potri.013G131700
AT2G40370,AT4G14815,Potri.008G073700,Potri.008G155100
AT2G40370,AT1G03700,Potri.008G073700,Potri.013G131700
AT2G40610,AT4G38850,Potri.019G057500,Potri.009G126300
AT2G40880,AT5G51970,Potri.003G192200,Potri.012G134900
AT2G41850,AT4G28490,Potri.006G052700,Potri.004G049100
AT2G41850,AT3G14380,Potri.006G052700,Potri.001G436400
AT2G44450,AT5G58090,Potri.004G040700,Potri.006G080600
AT2G44450,AT1G11050,Potri.004G040700,Potri.017G133000
AT2G44450,AT4G31140,Potri.004G040700,Potri.006G280700
AT2G44450,AT1G66250,Potri.004G040700,Potri.004G086400
AT2G44450,AT1G11820,Potri.004G040700,Potri.011G006100
AT2G44450,AT5G47070,Potri.004G040700,Potri.001G149100
AT2G44450,AT5G49770,Potri.004G040700,Potri.004G231700
AT2G44450,AT2G01630,Potri.004G040700,Potri.010G108500
AT2G44450,AT3G13560,Potri.004G040700,Potri.003G218500
AT2G45220,AT3G54920,Potri.002G145500,Potri.010G229000
AT2G46930,AT2G20840,Potri.014G110900,Potri.013G144700
AT2G47030,AT3G54920,Potri.003G021600,Potri.010G229000
AT2G47550,AT5G53250,Potri.014G127000,Potri.015G022600
AT2G47550,AT3G54920,Potri.014G127000,Potri.010G229000
AT2G47550,AT4G26320,Potri.014G127000,Potri.003G220932
AT2G47670,AT2G35620,Potri.014G129400,Potri.001G129000
AT3G01190,AT5G49270,Potri.019G063201,Potri.010G001100
AT3G01610,AT3G09840,Potri.013G151600,Potri.015G080600
AT3G02885,AT3G02880,Potri.017G124200,Potri.004G086100
AT3G02885,AT5G05170,Potri.017G124200,Potri.001G266400
AT3G03220,AT5G05170,Potri.004G080200,Potri.001G266400
AT3G05620,AT3G54920,Potri.013G013200,Potri.010G229000
AT3G05620,AT2G40540,Potri.013G013200,Potri.019G056500
AT3G05910,AT4G12730,Potri.005G001500,Potri.014G168100
AT3G05950,AT2G27370,Potri.013G051700,Potri.009G160000
AT3G07850,AT5G49720,Potri.019G066800,Potri.003G151700
AT3G10150,AT4G08850,Potri.016G042500,Potri.015G123800
AT3G10150,AT1G35710,Potri.016G042500,Potri.019G129100
AT3G10380,AT1G17140,Potri.010G227100,Potri.001G377900
AT3G10410,AT4G18780,Potri.010G227700,Potri.004G059600
AT3G10410,AT5G44030,Potri.010G227700,Potri.002G257900
AT3G10720,AT3G54920,Potri.010G247700,Potri.010G229000
AT3G11210,AT2G27370,Potri.008G068000,Potri.009G160000
AT3G11700,AT2G24450,Potri.016G066500,Potri.018G005100
AT3G11700,AT4G12730,Potri.016G066500,Potri.014G168100
AT3G11700,AT4G31370,Potri.016G066500,Potri.018G005100
AT3G11700,AT1G03870,Potri.016G066500,Potri.013G120600
AT3G11700,AT3G60900,Potri.016G066500,Potri.014G071700
AT3G12203,AT2G23240,Potri.013G124900,Potri.004G206400
