Receptor_Ath_clean,Ligand_Ath_clean,Ligand_Ath,Receptor_Ath,source,Organism,Ligand_Ptr,Receptor_Ptr,Ligand_Mapped,Receptor_Mapped,Both_Mapped,Ligand_Identity,Ligand_Coverage,Ligand_Evalue,Ligand_Bitscore,Receptor_Identity,Receptor_Coverage,Receptor_Evalue,Receptor_Bitscore
AT1G09960,AT5G37180,AT5G37180,AT1G09960,STRING,Arabidopsis thaliana,Potri.017G139100,Potri.002G106900,TRUE,TRUE,TRUE,70.764,99,0,1234,71.063,97,0,713
AT1G10620,AT4G21630,AT4G21630,AT1G10620,STRING,Arabidopsis thaliana,Potri.001G450401,Potri.008G189700,TRUE,TRUE,TRUE,53.015,99,0,812,57.321,74,0,588
AT1G11050,AT1G02810,AT1G02810,AT1G11050,STRING,Arabidopsis thaliana,Potri.002G202600,Potri.017G133000,TRUE,TRUE,TRUE,65.571,99,0,758,67.03,99,0,848
AT1G11050,AT2G44450,AT2G44450,AT1G11050,STRING,Arabidopsis thaliana,Potri.004G040700,Potri.017G133000,TRUE,TRUE,TRUE,54.825,95,0,572,67.03,99,0,848
AT1G11130,AT1G24140,AT1G24140,AT1G11130,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.004G037000,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,47.051,100,0,672
AT1G11130,AT1G59970,AT1G59970,AT1G11130,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.004G037000,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,47.051,100,0,672
AT1G11130,AT1G70170,AT1G70170,AT1G11130,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.004G037000,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,47.051,100,0,672
AT1G11260,AT3G13750,AT3G13750,AT1G11260,STRING,Arabidopsis thaliana,Potri.003G038500,Potri.004G033600,TRUE,TRUE,TRUE,85.036,97,0,1508,84,100,0,854
AT1G11820,AT2G36190,AT2G36190,AT1G11820,STRING,Arabidopsis thaliana,Potri.016G077400,Potri.011G006100,TRUE,TRUE,TRUE,65.241,94,0,761,77.027,99,0,830
AT1G11820,AT2G44450,AT2G44450,AT1G11820,STRING,Arabidopsis thaliana,Potri.004G040700,Potri.011G006100,TRUE,TRUE,TRUE,54.825,95,0,572,77.027,99,0,830
AT1G11820,AT3G13784,AT3G13784,AT1G11820,STRING,Arabidopsis thaliana,Potri.006G227400,Potri.011G006100,TRUE,TRUE,TRUE,55.97,93,0,606,77.027,99,0,830
AT1G11820,AT3G13790,AT3G13790,AT1G11820,STRING,Arabidopsis thaliana,Potri.006G227400,Potri.011G006100,TRUE,TRUE,TRUE,60.644,95,0,703,77.027,99,0,830
AT1G11820,AT3G18080,AT3G18080,AT1G11820,STRING,Arabidopsis thaliana,Potri.015G041300,Potri.011G006100,TRUE,TRUE,TRUE,79.01,97,0,841,77.027,99,0,830
AT1G11820,AT3G45940,AT3G45940,AT1G11820,STRING,Arabidopsis thaliana,Potri.008G120000,Potri.011G006100,TRUE,TRUE,TRUE,67.038,96,0,1238,77.027,99,0,830
AT1G11820,AT4G13090,AT4G13090,AT1G11820,STRING,Arabidopsis thaliana,Potri.002G244200,Potri.011G006100,TRUE,TRUE,TRUE,59.722,98,2.31e-128,367,77.027,99,0,830
AT1G11820,AT5G11920,AT5G11920,AT1G11820,STRING,Arabidopsis thaliana,Potri.006G227500,Potri.011G006100,TRUE,TRUE,TRUE,58.932,98,0,646,77.027,99,0,830
AT1G11820,AT5G65730,AT5G65730,AT1G11820,STRING,Arabidopsis thaliana,Potri.007G008500,Potri.011G006100,TRUE,TRUE,TRUE,80.15,91,3.59e-170,473,77.027,99,0,830
AT1G12460,AT1G14700,AT1G14700,AT1G12460,IntAct,Arabidopsis thaliana,Potri.008G139125,Potri.001G114500,TRUE,TRUE,TRUE,67.823,86,2.67e-169,476,67.326,97,0,1146
AT1G12480,AT5G60805,AT5G60805,AT1G12480,STRING,Arabidopsis thaliana,,Potri.001G114300,FALSE,TRUE,FALSE,,,,,69.705,66,1.44e-161,465
AT1G13980,AT2G29960,AT2G29960,AT1G13980,STRING,Arabidopsis thaliana,Potri.009G046500,Potri.017G078900,TRUE,TRUE,TRUE,84.343,97,1.42e-122,345,83.763,99,0,2526
AT1G13980,AT2G29960,AT2G29960,AT1G13980,IntAct,Arabidopsis thaliana,Potri.009G046500,Potri.017G078900,TRUE,TRUE,TRUE,84.343,97,1.42e-122,345,83.763,99,0,2526
AT1G13980,AT2G29960,AT2G29960,AT1G13980,BIOGRID,Arabidopsis thaliana,Potri.009G046500,Potri.017G078900,TRUE,TRUE,TRUE,84.343,97,1.42e-122,345,83.763,99,0,2526
AT1G13980,AT2G29960,AT2G29960,AT1G13980,interactome2.0,Arabidopsis thaliana,Potri.009G046500,Potri.017G078900,TRUE,TRUE,TRUE,84.343,97,1.42e-122,345,83.763,99,0,2526
AT1G14040,AT1G78660,AT1G78660,AT1G14040,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.008G090400,TRUE,TRUE,TRUE,69.565,92,2.76e-172,485,67.643,100,0,1099
AT1G14040,AT1G78670,AT1G78670,AT1G14040,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.008G090400,TRUE,TRUE,TRUE,63.687,99,1.04e-162,461,67.643,100,0,1099
AT1G14040,AT1G78680,AT1G78680,AT1G14040,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.008G090400,TRUE,TRUE,TRUE,69.253,98,0,507,67.643,100,0,1099
AT1G14280,AT2G44450,AT2G44450,AT1G14280,STRING,Arabidopsis thaliana,Potri.004G040700,,TRUE,FALSE,FALSE,54.825,95,0,572,,,,
AT1G14390,AT1G24140,AT1G24140,AT1G14390,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.001G147700,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,55.901,99,0,772
AT1G14390,AT1G59970,AT1G59970,AT1G14390,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.001G147700,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,55.901,99,0,772
AT1G14390,AT1G70170,AT1G70170,AT1G14390,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.001G147700,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,55.901,99,0,772
AT1G14880,AT3G57240,AT3G57240,AT1G14880,STRING,Arabidopsis thaliana,Potri.016G057400,Potri.010G108800,TRUE,TRUE,TRUE,65.204,92,6.34e-145,413,52,99,1.39e-54,171
AT1G15520,AT4G13090,AT4G13090,AT1G15520,interactome2.0,Arabidopsis thaliana,Potri.002G244200,Potri.001G048700,TRUE,TRUE,TRUE,59.722,98,2.31e-128,367,72.333,100,0,2221
AT1G16110,AT1G02920,AT1G02920,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G186100,TRUE,TRUE,TRUE,62.201,99,6.99e-90,263,49.595,94,0,566
AT1G16110,AT1G02930,AT1G02930,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G186100,TRUE,TRUE,TRUE,62.019,99,1.65e-91,267,49.595,94,0,566
AT1G16110,AT1G02940,AT1G02940,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G186100,TRUE,TRUE,TRUE,52.427,80,1.26e-73,224,49.595,94,0,566
AT1G16110,AT1G02950,AT1G02950,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G186100,TRUE,TRUE,TRUE,58.252,84,6.3e-87,257,49.595,94,0,566
AT1G16110,AT1G13230,AT1G13230,AT1G16110,orthologs,Arabidopsis thaliana,Potri.008G114700,Potri.003G186100,TRUE,TRUE,TRUE,59.233,97,8.14e-165,472,49.595,94,0,566
AT1G16110,AT1G17240,AT1G17240,AT1G16110,orthologs,Arabidopsis thaliana,Potri.003G074000,Potri.003G186100,TRUE,TRUE,TRUE,49.588,98,0,653,49.595,94,0,566
AT1G16110,AT1G17250,AT1G17250,AT1G16110,orthologs,Arabidopsis thaliana,Potri.003G074000,Potri.003G186100,TRUE,TRUE,TRUE,53.019,89,0,684,49.595,94,0,566
AT1G16110,AT1G23410,AT1G23410,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G025300,Potri.003G186100,TRUE,TRUE,TRUE,92.157,97,6.81e-86,249,49.595,94,0,566
AT1G16110,AT1G23490,AT1G23490,AT1G16110,orthologs,Arabidopsis thaliana,Potri.013G005500,Potri.003G186100,TRUE,TRUE,TRUE,98.901,100,5.74e-134,372,49.595,94,0,566
AT1G16110,AT1G49860,AT1G49860,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207093,Potri.003G186100,TRUE,TRUE,TRUE,47.642,83,1.81e-60,190,49.595,94,0,566
AT1G16110,AT1G68090,AT1G68090,AT1G16110,orthologs,Arabidopsis thaliana,Potri.008G139500,Potri.003G186100,TRUE,TRUE,TRUE,56.55,99,4.6e-126,363,49.595,94,0,566
AT1G16110,AT1G70490,AT1G70490,AT1G16110,orthologs,Arabidopsis thaliana,Potri.013G005500,Potri.003G186100,TRUE,TRUE,TRUE,98.901,100,5.74e-134,372,49.595,94,0,566
AT1G16110,AT1G74200,AT1G74200,AT1G16110,orthologs,Arabidopsis thaliana,Potri.011G104600,Potri.003G186100,TRUE,TRUE,TRUE,37.354,86,3.59e-37,141,49.595,94,0,566
AT1G16110,AT1G80080,AT1G80080,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G202100,Potri.003G186100,TRUE,TRUE,TRUE,63.362,93,0,598,49.595,94,0,566
AT1G16110,AT2G02930,AT2G02930,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G186100,TRUE,TRUE,TRUE,62.264,99,2.45e-89,262,49.595,94,0,566
AT1G16110,AT2G26300,AT2G26300,AT1G16110,orthologs,Arabidopsis thaliana,Potri.018G048600,Potri.003G186100,TRUE,TRUE,TRUE,85.455,100,0,684,49.595,94,0,566
AT1G16110,AT2G30860,AT2G30860,AT1G16110,orthologs,Arabidopsis thaliana,Potri.017G138800,Potri.003G186100,TRUE,TRUE,TRUE,51.869,99,1.29e-78,235,49.595,94,0,566
AT1G16110,AT2G30870,AT2G30870,AT1G16110,orthologs,Arabidopsis thaliana,Potri.017G138800,Potri.003G186100,TRUE,TRUE,TRUE,51.442,96,1.96e-76,229,49.595,94,0,566
AT1G16110,AT2G36170,AT2G36170,AT1G16110,orthologs,Arabidopsis thaliana,Potri.016G077200,Potri.003G186100,TRUE,TRUE,TRUE,98.45,100,2.21e-91,260,49.595,94,0,566
AT1G16110,AT2G42800,AT2G42800,AT1G16110,orthologs,Arabidopsis thaliana,Potri.008G211800,Potri.003G186100,TRUE,TRUE,TRUE,63.532,92,9.24e-180,510,49.595,94,0,566
AT1G16110,AT2G47110,AT2G47110,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G025300,Potri.003G186100,TRUE,TRUE,TRUE,96.129,98,1.03e-107,304,49.595,94,0,566
AT1G16110,AT2G47730,AT2G47730,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G186100,TRUE,TRUE,TRUE,61.792,80,2.59e-91,269,49.595,94,0,566
AT1G16110,AT3G03190,AT3G03190,AT1G16110,orthologs,Arabidopsis thaliana,Potri.017G138800,Potri.003G186100,TRUE,TRUE,TRUE,57.674,100,1.7e-88,260,49.595,94,0,566
AT1G16110,AT3G12145,AT3G12145,AT1G16110,orthologs,Arabidopsis thaliana,Potri.006G058600,Potri.003G186100,TRUE,TRUE,TRUE,52.303,93,2.64e-105,311,49.595,94,0,566
AT1G16110,AT3G12610,AT3G12610,AT1G16110,orthologs,Arabidopsis thaliana,Potri.009G064300,Potri.003G186100,TRUE,TRUE,TRUE,65.527,94,1.02e-171,483,49.595,94,0,566
AT1G16110,AT3G23010,AT3G23010,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G389100,Potri.003G186100,TRUE,TRUE,TRUE,38.739,99,1.94e-115,367,49.595,94,0,566
AT1G16110,AT3G28890,AT3G28890,AT1G16110,orthologs,Arabidopsis thaliana,Potri.012G027600,Potri.003G186100,TRUE,TRUE,TRUE,44.113,93,4.48e-135,427,49.595,94,0,566
AT1G16110,AT3G52590,AT3G52590,AT1G16110,orthologs,Arabidopsis thaliana,Potri.016G077200,Potri.003G186100,TRUE,TRUE,TRUE,98.45,100,2.21e-91,260,49.595,94,0,566
AT1G16110,AT3G62250,AT3G62250,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G025300,Potri.003G186100,TRUE,TRUE,TRUE,96.104,97,3.51e-90,259,49.595,94,0,566
AT1G16110,AT3G62760,AT3G62760,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207672,Potri.003G186100,TRUE,TRUE,TRUE,63.679,96,3.84e-105,302,49.595,94,0,566
AT1G16110,AT4G02520,AT4G02520,AT1G16110,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G186100,TRUE,TRUE,TRUE,60.19,99,4.64e-88,259,49.595,94,0,566
AT1G16110,AT4G02890,AT4G02890,AT1G16110,orthologs,Arabidopsis thaliana,Potri.017G036800,Potri.003G186100,TRUE,TRUE,TRUE,100,100,0,605,49.595,94,0,566
AT1G16110,AT4G05050,AT4G05050,AT1G16110,orthologs,Arabidopsis thaliana,Potri.004G021500,Potri.003G186100,TRUE,TRUE,TRUE,100,100,5.78e-164,455,49.595,94,0,566
AT1G16110,AT4G05320,AT4G05320,AT1G16110,orthologs,Arabidopsis thaliana,Potri.011G134200,Potri.003G186100,TRUE,TRUE,TRUE,100,100,0,903,49.595,94,0,566
AT1G16110,AT4G24190,AT4G24190,AT1G16110,orthologs,Arabidopsis thaliana,Potri.005G241100,Potri.003G186100,TRUE,TRUE,TRUE,81.718,97,0,1300,49.595,94,0,566
AT1G16110,AT5G03240,AT5G03240,AT1G16110,orthologs,Arabidopsis thaliana,Potri.011G134200,Potri.003G186100,TRUE,TRUE,TRUE,100,99,0,603,49.595,94,0,566
AT1G16110,AT5G06860,AT5G06860,AT1G16110,orthologs,Arabidopsis thaliana,Potri.006G058600,Potri.003G186100,TRUE,TRUE,TRUE,65.909,93,1.21e-141,404,49.595,94,0,566
AT1G16110,AT5G06870,AT5G06870,AT1G16110,orthologs,Arabidopsis thaliana,Potri.006G058600,Potri.003G186100,TRUE,TRUE,TRUE,63.636,93,3.02e-132,380,49.595,94,0,566
AT1G16110,AT5G17220,AT5G17220,AT1G16110,orthologs,Arabidopsis thaliana,Potri.017G138800,Potri.003G186100,TRUE,TRUE,TRUE,56.338,99,2.52e-90,265,49.595,94,0,566
AT1G16110,AT5G37640,AT5G37640,AT1G16110,orthologs,Arabidopsis thaliana,Potri.017G036800,Potri.003G186100,TRUE,TRUE,TRUE,90.492,95,0,538,49.595,94,0,566
AT1G16110,AT5G52640,AT5G52640,AT1G16110,orthologs,Arabidopsis thaliana,Potri.017G146600,Potri.003G186100,TRUE,TRUE,TRUE,92.776,100,0,1249,49.595,94,0,566
AT1G16110,AT5G56000,AT5G56000,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G466000,Potri.003G186100,TRUE,TRUE,TRUE,91.726,100,0,1218,49.595,94,0,566
AT1G16110,AT5G56010,AT5G56010,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G466000,Potri.003G186100,TRUE,TRUE,TRUE,92.582,100,0,1224,49.595,94,0,566
AT1G16110,AT5G56030,AT5G56030,AT1G16110,orthologs,Arabidopsis thaliana,Potri.001G466000,Potri.003G186100,TRUE,TRUE,TRUE,89.589,100,0,1215,49.595,94,0,566
AT1G16120,AT1G02920,AT1G02920,AT1G16120,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,62.201,99,6.99e-90,263,47.639,97,0,647
AT1G16120,AT1G02930,AT1G02930,AT1G16120,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,62.019,99,1.65e-91,267,47.639,97,0,647
AT1G16120,AT1G02940,AT1G02940,AT1G16120,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,52.427,80,1.26e-73,224,47.639,97,0,647
AT1G16120,AT1G02950,AT1G02950,AT1G16120,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,58.252,84,6.3e-87,257,47.639,97,0,647
AT1G16120,AT1G13230,AT1G13230,AT1G16120,orthologs,Arabidopsis thaliana,Potri.008G114700,Potri.003G185688,TRUE,TRUE,TRUE,59.233,97,8.14e-165,472,47.639,97,0,647
AT1G16120,AT1G17240,AT1G17240,AT1G16120,orthologs,Arabidopsis thaliana,Potri.003G074000,Potri.003G185688,TRUE,TRUE,TRUE,49.588,98,0,653,47.639,97,0,647
